hero_id,name,primary_attr,attack_type,roles
1,"Anti-Mage",agi,Melee,"Carry|Escape|Nuker"
2,"Axe",str,Melee,"Initiator|Durable|Disabler|Carry"
3,"Bane",all,Ranged,"Support|Disabler|Nuker|Durable"
4,"Bloodseeker",agi,Melee,"Carry|Disabler|Nuker|Initiator"
5,"Crystal Maiden",int,Ranged,"Support|Disabler|Nuker"
6,"Drow Ranger",agi,Ranged,"Carry|Disabler|Pusher"
7,"Earthshaker",str,Melee,"Support|Initiator|Disabler|Nuker"
8,"Juggernaut",agi,Melee,"Carry|Pusher|Escape"
9,"Mirana",agi,Ranged,"Carry|Support|Escape|Nuker|Disabler"
10,"Morphling",agi,Ranged,"Carry|Escape|Durable|Nuker|Disabler"
11,"Shadow Fiend",agi,Ranged,"Carry|Nuker"
12,"Phantom Lancer",agi,Melee,"Carry|Escape|Pusher|Nuker"
13,"Puck",int,Ranged,"Initiator|Disabler|Escape|Nuker"
14,"Pudge",str,Melee,"Disabler|Initiator|Durable|Nuker"
15,"Razor",agi,Ranged,"Carry|Durable|Nuker|Pusher"
16,"Sand King",all,Melee,"Initiator|Disabler|Support|Nuker|Escape"
17,"Storm Spirit",int,Ranged,"Carry|Escape|Nuker|Initiator|Disabler"
18,"Sven",str,Melee,"Carry|Disabler|Initiator|Durable|Nuker"
19,"Tiny",str,Melee,"Carry|Nuker|Pusher|Initiator|Durable|Disabler"
20,"Vengeful Spirit",agi,Ranged,"Support|Initiator|Disabler|Nuker|Escape"
21,"Windranger",all,Ranged,"Carry|Support|Disabler|Escape|Nuker"
22,"Zeus",int,Ranged,"Nuker|Carry"
23,"Kunkka",str,Melee,"Carry|Support|Disabler|Initiator|Durable|Nuker"
25,"Lina",int,Ranged,"Support|Carry|Nuker|Disabler"
26,"Lion",int,Ranged,"Support|Disabler|Nuker|Initiator"
27,"Shadow Shaman",int,Ranged,"Support|Pusher|Disabler|Nuker|Initiator"
