hero_id,name,picks,wins,win_rate
102,Abaddon,144380,73819,0.5113
73,Alchemist,132256,62244,0.4706
68,Ancient Apparition,217469,111519,0.5128
1,Anti-Mage,401685,199092,0.4956
113,Arc Warden,120843,61304,0.5073
2,Axe,632712,327412,0.5175
3,Bane,129585,64999,0.5016
65,Batrider,44571,19246,0.4318
38,Beastmaster,99556,44138,0.4433
4,Bloodseeker,131139,68087,0.5192
62,Bounty Hunter,159921,82428,0.5154
78,Brewmaster,52355,26648,0.5090
99,Bristleback,266905,130400,0.4886
61,Broodmother,67357,33769,0.5013
96,Centaur Warrunner,268180,136553,0.5092
81,Chaos Knight,148376,75372,0.5080
66,Chen,15019,6642,0.4422
56,Clinkz,166450,82428,0.4952
51,Clockwerk,125697,61210,0.4870
5,Crystal Maiden,425605,219111,0.5148
55,Dark Seer,98373,47989,0.4878
119,Dark Willow,166649,79622,0.4778
135,Dawnbreaker,283164,146814,0.5185
50,Dazzle,161218,81637,0.5064
43,Death Prophet,129170,60888,0.4714
87,Disruptor,248879,124131,0.4988
69,Doom,177904,82772,0.4653
49,Dragon Knight,121209,59828,0.4936
6,Drow Ranger,533107,268247,0.5032
107,Earth Spirit,163279,81636,0.5000
7,Earthshaker,466332,234346,0.5025
103,Elder Titan,34055,17338,0.5091
106,Ember Spirit,205964,101496,0.4928
58,Enchantress,79760,38044,0.4770
33,Enigma,117838,59208,0.5025
41,Faceless Void,327601,161416,0.4927
121,Grimstroke,211205,108704,0.5147
72,Gyrocopter,96711,41632,0.4305
123,Hoodwink,315942,151551,0.4797
59,Huskar,125759,56112,0.4462
74,Invoker,607595,310090,0.5104
91,Io,151728,77186,0.5087
64,Jakiro,335145,159282,0.4753
8,Juggernaut,529049,273419,0.5168
90,Keeper of the Light,237651,120186,0.5057
145,Kez,146863,65145,0.4436
23,Kunkka,159941,78668,0.4919
155,Largo,61318,29362,0.4788
104,Legion Commander,484860,255024,0.5260
52,Leshrac,90910,46899,0.5159
31,Lich,344497,180574,0.5242
54,Lifestealer,360432,189185,0.5249
25,Lina,567735,280405,0.4939
26,Lion,829010,403380,0.4866
80,Lone Druid,68930,33650,0.4882
48,Luna,346776,173710,0.5009
77,Lycan,49762,24166,0.4856
97,Magnus,366384,177776,0.4852
136,Marci,129069,64285,0.4981
129,Mars,155201,72360,0.4662
94,Medusa,115329,57272,0.4966
82,Meepo,53795,27294,0.5074
9,Mirana,284146,145356,0.5116
114,Monkey King,176821,78701,0.4451
10,Morphling,124981,58789,0.4704
138,Muerta,121401,56512,0.4655
89,Naga Siren,64329,30648,0.4764
53,Nature's Prophet,283150,121547,0.4293
36,Necrophos,549139,285637,0.5202
60,Night Stalker,235458,123389,0.5240
88,Nyx Assassin,216571,112275,0.5184
84,Ogre Magi,560775,285064,0.5083
57,Omniknight,93637,46780,0.4996
111,Oracle,137576,67902,0.4936
76,Outworld Devourer,140457,70645,0.5030
120,Pangolier,97130,44281,0.4559
44,Phantom Assassin,468255,237578,0.5074
12,Phantom Lancer,335192,174501,0.5206
110,Phoenix,173770,88111,0.5071
137,Primal Beast,98593,47749,0.4843
13,Puck,126884,59603,0.4697
14,Pudge,912932,469695,0.5145
45,Pugna,129968,64636,0.4973
39,Queen of Pain,340419,158239,0.4648
15,Razor,192523,96256,0.5000
32,Riki,183514,95737,0.5217
131,Ring Master,168112,80510,0.4789
86,Rubick,597577,293737,0.4915
16,Sand King,140635,68454,0.4867
79,Shadow Demon,74240,32959,0.4440
11,Shadow Fiend,579406,280344,0.4838
27,Shadow Shaman,509554,263800,0.5177
75,Silencer,377979,192509,0.5093
101,Skywrath Mage,414389,207512,0.5008
28,Slardar,257967,129115,0.5005
93,Slark,335486,165842,0.4943
128,Snapfire,635423,336175,0.5291
35,Sniper,671788,335623,0.4996
67,Spectre,431845,233936,0.5417
71,Spirit Breaker,490813,253888,0.5173
17,Storm Spirit,221916,103778,0.4676
18,Sven,221832,111599,0.5031
105,Techies,311237,157184,0.5050
46,Templar Assassin,131268,60444,0.4605
109,Terrorblade,100461,47053,0.4684
29,Tidehunter,281249,140861,0.5008
98,Timbersaw,140404,62457,0.4448
34,Tinker,174984,82010,0.4687
19,Tiny,193737,86458,0.4463
83,Treant Protector,136264,68944,0.5060
95,Troll Warlord,90544,45756,0.5053
100,Tusk,175220,83233,0.4750
108,Underlord,211481,105552,0.4991
85,Undying,419751,219213,0.5222
70,Ursa,217021,102297,0.4714
20,Vengeful Spirit,427671,227918,0.5329
40,Venomancer,250359,118691,0.4741
47,Viper,255351,123438,0.4834
92,Visage,48046,24962,0.5195
126,Void Spirit,139196,68617,0.4930
37,Warlock,219698,108070,0.4919
63,Weaver,194721,92271,0.4739
21,Windranger,464231,223191,0.4808
112,Winter Wyvern,136451,67120,0.4919
30,Witch Doctor,507549,262889,0.5180
42,Wraith King,413148,225546,0.5459
22,Zeus,635969,326639,0.5136
